Entity,Code,Year,ElectricityGeneration
Algeria,DZA,2022,91.64279
Argentina,ARG,2022,143.67
Australia,AUS,2022,251.68
Austria,AUT,2022,64.69
Azerbaijan,AZE,2022,29.0326
Bangladesh,BGD,2022,85.23
Belarus,BLR,2022,39.64126
Belgium,BEL,2022,94.58
Bolivia,BOL,2022,11.27
Bosnia and Herzegovina,BIH,2022,16.24
Brazil,BRA,2022,680.88
Bulgaria,BGR,2022,50.58
Burundi,BDI,2022,0.36
Canada,CAN,2022,638.42
Chile,CHL,2022,83.22
China,CHN,2022,8839.13
Colombia,COL,2022,84.52
Costa Rica,CRI,2022,12.63
Croatia,HRV,2022,14.12
Cyprus,CYP,2022,5.26
Czechia,CZE,2022,85.11
Denmark,DNK,2022,34.42
Ecuador,ECU,2022,33.12
Egypt,EGY,2022,208.09
El Salvador,SLV,2022,7.62
Estonia,EST,2022,8.34
Finland,FIN,2022,72.99
France,FRA,2022,469.48
Georgia,GEO,2022,14.24
Germany,DEU,2022,582.28
Greece,GRC,2022,52.44
Hong Kong,HKG,2022,36.233456
Hungary,HUN,2022,35.52
Iceland,ISL,2022,20.108475
India,IND,2022,1837.95
Indonesia,IDN,2022,333.54
Iran,IRN,2022,370.81
Iraq,IRQ,2022,117.236595
Ireland,IRL,2022,33.61
Israel,ISR,2022,76.47676
Italy,ITA,2022,278.86
Japan,JPN,2022,966.72
Kazakhstan,KAZ,2022,112.78
Kenya,KEN,2022,12.33
Kosovo,OWID_KOS,2022,10.81
Kuwait,KWT,2022,82.95694
Latvia,LVA,2022,5.06
Lithuania,LTU,2022,4.17
Luxembourg,LUX,2022,1.13
Malaysia,MYS,2022,180.51
Malta,MLT,2022,2
Mexico,MEX,2022,349.5
Moldova,MDA,2022,5.38
Mongolia,MNG,2022,7.27
Montenegro,MNE,2022,3.23
Morocco,MAR,2022,41.155945
Netherlands,NLD,2022,120.89
New Zealand,NZL,2022,44.1
Nigeria,NGA,2022,32.1
North Macedonia,MKD,2022,6.99
Norway,NOR,2022,152.68
Oman,OMN,2022,37.09
Pakistan,PAK,2022,152.17
Peru,PER,2022,60.27
Philippines,PHL,2022,112.74
Poland,POL,2022,179.3
Portugal,PRT,2022,46.96
Qatar,QAT,2022,45.9
Romania,ROU,2022,56.3
Russia,RUS,2022,1114.93
Saudi Arabia,SAU,2022,401.58832
Serbia,SRB,2022,36.18
Singapore,SGP,2022,54.79
Slovakia,SVK,2022,26.73
Slovenia,SVN,2022,13.27
South Africa,ZAF,2022,213.6
South America,,2022,1256.9778
South Korea,KOR,2022,606.51
South and Central America (EI),,2022,1410.4108
Spain,ESP,2022,284.81
Sri Lanka,LKA,2022,16.923082
Sweden,SWE,2022,171.68
Switzerland,CHE,2022,62.25
Taiwan,TWN,2022,285.08
Thailand,THA,2022,190.88
Trinidad and Tobago,TTO,2022,10.165218
Tunisia,TUN,2022,20.28
Turkey,TUR,2022,326.09
Turkmenistan,TKM,2022,31.524
Ukraine,UKR,2022,111.94
United Arab Emirates,ARE,2022,154.74054
United Kingdom,GBR,2022,324.89
United States of America,USA,2022,4296.88
Uruguay,URY,2022,14.72
Uzbekistan,UZB,2022,70.9954
Venezuela,VEN,2022,82.824066
Vietnam,VNM,2022,263.33
